model_id,n_pairs,FID,KID,SSIM,PSNR,LPIPS,CMMD,CLIP-I,CLIP-T
MDHI_dispersive_upto_0_w0.05,130,132.527317,0.067777,0.187471,12.376376,0.558906,0.097637,0.858224,0.184604
MDHI_dispersive_upto_1_w0.05,130,142.465085,0.078798,0.152016,11.819246,0.590944,0.090934,0.861312,0.184063
MDHI_dispersive_upto_1_w0.1,130,152.482624,0.088348,0.140312,11.273453,0.602225,0.115764,0.854346,0.184353
MDHI_dispersive_upto_2_w0.05,130,148.989855,0.081096,0.144530,11.259830,0.596189,0.099405,0.852587,0.183156
MDHI_dispersive_upto_3_w0.05,130,140.792323,0.075346,0.182667,11.668218,0.576862,0.117631,0.851465,0.179296
MDHI_dispersive_upto_4_w0.05,130,144.961432,0.080477,0.190807,11.664673,0.575364,0.113692,0.853763,0.179711
MDHI_dispersive_upto_5_w0.05,130,133.373378,0.067953,0.185761,11.765342,0.575294,0.110565,0.865060,0.179083
MDHI_dispersive_upto_6_w0.05,130,121.656276,0.056429,0.226703,12.098559,0.565792,0.105657,0.862781,0.180924
MDHI_dispersive_upto_7_w0.05,130,123.760484,0.055504,0.233931,12.185450,0.563803,0.097138,0.862631,0.179781
MDHI_dispersive_upto_8_w0.05,130,116.050363,0.051385,0.244390,12.531826,0.548405,0.112018,0.867215,0.182201
MDHI_dispersive_upto_9_w0.05,130,127.471200,0.053087,0.208134,11.629062,0.583583,0.091183,0.856387,0.179120
MDHI_dispersive_upto_10_w0.05,130,135.316088,0.058010,0.202733,11.664814,0.589640,0.102908,0.854062,0.180146
MDHI_dispersive_upto_11_w0.05,130,139.681692,0.064465,0.197417,11.424086,0.608784,0.112110,0.849371,0.178297
MDHI_dispersive_upto_12_w0.05,130,140.074379,0.064978,0.211207,11.492393,0.603163,0.111926,0.851408,0.179794
MDHI_dispersive_upto_13_w0.05,130,144.908797,0.068510,0.205884,11.624584,0.602727,0.126038,0.848686,0.180813
