Model,US Dataset,Training Dataset,Sn (%),Sp (%),ACC (%),F1,MCC,AUROC
Inception-v3,real_swe_test,Real SWE,69.23,98.46,83.85,0.8108,0.7078,0.9685
Inception-v3,BLUSG,Real SWE+MDHI_dispersive_upto_8_w0.01,98.46,83.08,90.77,0.9143,0.8252,0.9858
Inception-v3,BLUSG,Real SWE+MDHI_dispersive_upto_8_w0.03,90.77,95.38,93.08,0.9291,0.8625,0.9763
Inception-v3,BLUSG,Real SWE+MDHI_dispersive_upto_8_w0.05,98.46,80.0,89.23,0.9014,0.7983,0.9837
Inception-v3,BLUSG,Real SWE+MDHI_dispersive_upto_8_w0.07,90.77,96.92,93.85,0.9365,0.8786,0.9832
Inception-v3,BLUSG,Real SWE+MDHI_dispersive_upto_8_w0.09,90.77,87.69,89.23,0.8939,0.785,0.9583
Inception-v3,BUSBRA,Real SWE+MDHI_dispersive_upto_8_w0.01,93.85,95.38,94.62,0.9457,0.8924,0.9834
Inception-v3,BUSBRA,Real SWE+MDHI_dispersive_upto_8_w0.03,86.15,95.38,90.77,0.9032,0.8189,0.973
Inception-v3,BUSBRA,Real SWE+MDHI_dispersive_upto_8_w0.05,96.92,93.85,95.38,0.9545,0.9081,0.9856
Inception-v3,BUSBRA,Real SWE+MDHI_dispersive_upto_8_w0.07,89.23,95.38,92.31,0.9206,0.8478,0.9879
Inception-v3,BUSBRA,Real SWE+MDHI_dispersive_upto_8_w0.09,81.54,98.46,90.0,0.8908,0.8117,0.9867
Inception-v3,BUSI,Real SWE+MDHI_dispersive_upto_8_w0.01,96.92,89.23,93.08,0.9333,0.8641,0.983
Inception-v3,BUSI,Real SWE+MDHI_dispersive_upto_8_w0.03,89.23,95.38,92.31,0.9206,0.8478,0.983
Inception-v3,BUSI,Real SWE+MDHI_dispersive_upto_8_w0.05,86.15,93.85,90.0,0.896,0.8024,0.9744
Inception-v3,BUSI,Real SWE+MDHI_dispersive_upto_8_w0.07,87.69,96.92,92.31,0.9194,0.8498,0.9725
Inception-v3,BUSI,Real SWE+MDHI_dispersive_upto_8_w0.09,83.08,96.92,90.0,0.8926,0.8078,0.9721
ResNet-152,real_swe_test,Real SWE,90.77,96.92,93.85,0.9365,0.8786,0.982
ResNet-152,BLUSG,Real SWE+MDHI_dispersive_upto_8_w0.01,87.69,95.38,91.54,0.912,0.8332,0.9856
ResNet-152,BLUSG,Real SWE+MDHI_dispersive_upto_8_w0.03,87.69,95.38,91.54,0.912,0.8332,0.9856
ResNet-152,BLUSG,Real SWE+MDHI_dispersive_upto_8_w0.05,89.23,95.38,92.31,0.9206,0.8478,0.9763
ResNet-152,BLUSG,Real SWE+MDHI_dispersive_upto_8_w0.07,92.31,93.85,93.08,0.9302,0.8616,0.9815
ResNet-152,BLUSG,Real SWE+MDHI_dispersive_upto_8_w0.09,87.69,95.38,91.54,0.912,0.8332,0.9867
ResNet-152,BUSBRA,Real SWE+MDHI_dispersive_upto_8_w0.01,87.69,95.38,91.54,0.912,0.8332,0.9856
ResNet-152,BUSBRA,Real SWE+MDHI_dispersive_upto_8_w0.03,89.23,95.38,92.31,0.9206,0.8478,0.9763
ResNet-152,BUSBRA,Real SWE+MDHI_dispersive_upto_8_w0.05,92.31,93.85,93.08,0.9302,0.8616,0.9815
ResNet-152,BUSBRA,Real SWE+MDHI_dispersive_upto_8_w0.07,87.69,95.38,91.54,0.912,0.8332,0.9867
ResNet-152,BUSBRA,Real SWE+MDHI_dispersive_upto_8_w0.09,89.23,95.38,92.31,0.9206,0.8478,0.9742
ResNet-152,BUSI,Real SWE+MDHI_dispersive_upto_8_w0.01,87.69,95.38,91.54,0.912,0.8332,0.9856
ResNet-152,BUSI,Real SWE+MDHI_dispersive_upto_8_w0.03,89.23,95.38,92.31,0.9206,0.8478,0.9763
ResNet-152,BUSI,Real SWE+MDHI_dispersive_upto_8_w0.05,92.31,93.85,93.08,0.9302,0.8616,0.9815
ResNet-152,BUSI,Real SWE+MDHI_dispersive_upto_8_w0.07,87.69,95.38,91.54,0.912,0.8332,0.9867
ResNet-152,BUSI,Real SWE+MDHI_dispersive_upto_8_w0.09,89.23,95.38,92.31,0.9206,0.8478,0.9742
VGG-16,real_swe_test,Real SWE,93.85,96.92,95.38,0.9531,0.9081,0.9831
VGG-16,BLUSG,Real SWE+MDHI_dispersive_upto_8_w0.01,95.38,96.92,96.15,0.9612,0.9232,0.9929
VGG-16,BLUSG,Real SWE+MDHI_dispersive_upto_8_w0.03,96.92,96.92,96.92,0.9692,0.9385,0.9841
VGG-16,BLUSG,Real SWE+MDHI_dispersive_upto_8_w0.05,95.38,96.92,96.15,0.9612,0.9232,0.9856
VGG-16,BLUSG,Real SWE+MDHI_dispersive_upto_8_w0.07,92.31,98.46,95.38,0.9524,0.9094,0.9821
VGG-16,BLUSG,Real SWE+MDHI_dispersive_upto_8_w0.09,95.38,96.92,96.15,0.9612,0.9232,0.9938
VGG-16,BUSBRA,Real SWE+MDHI_dispersive_upto_8_w0.01,96.92,96.92,96.92,0.9692,0.9385,0.988
VGG-16,BUSBRA,Real SWE+MDHI_dispersive_upto_8_w0.03,93.85,96.92,95.38,0.9531,0.9081,0.987
VGG-16,BUSBRA,Real SWE+MDHI_dispersive_upto_8_w0.05,96.92,96.92,96.92,0.9692,0.9385,0.9934
VGG-16,BUSBRA,Real SWE+MDHI_dispersive_upto_8_w0.07,93.85,96.92,95.38,0.9531,0.9081,0.9843
VGG-16,BUSBRA,Real SWE+MDHI_dispersive_upto_8_w0.09,95.38,98.46,96.92,0.9688,0.9389,0.9873
VGG-16,BUSI,Real SWE+MDHI_dispersive_upto_8_w0.01,96.92,96.92,96.92,0.9692,0.9385,0.9934
VGG-16,BUSI,Real SWE+MDHI_dispersive_upto_8_w0.03,90.77,96.92,93.85,0.9365,0.8786,0.9788
VGG-16,BUSI,Real SWE+MDHI_dispersive_upto_8_w0.05,96.92,96.92,96.92,0.9692,0.9385,0.9953
VGG-16,BUSI,Real SWE+MDHI_dispersive_upto_8_w0.07,95.38,98.46,96.92,0.9688,0.9389,0.9988
VGG-16,BUSI,Real SWE+MDHI_dispersive_upto_8_w0.09,96.92,95.38,96.15,0.9618,0.9232,0.9886
